zip,lat,lng,city,state_id,state_name,population
80510,40.20964,-105.57878,Allenspark,CO,Colorado,462
80512,40.62989,-105.56828,Bellvue,CO,Colorado,1728
80513,40.29789,-105.10913,Berthoud,CO,Colorado,15408
80514,40.07152,-104.95401,Dacono,CO,Colorado,6097
80515,40.45659,-105.37726,Drake,CO,Colorado,646
80516,40.05333,-105.01869,Erie,CO,Colorado,33291
80517,40.39731,-105.61165,Estes Park,CO,Colorado,10675
80520,40.11387,-104.93347,Firestone,CO,Colorado,1874
80521,40.59372,-105.1268,Fort Collins,CO,Colorado,37867
80524,40.64814,-105.02155,Fort Collins,CO,Colorado,37236
80525,40.52795,-105.04249,Fort Collins,CO,Colorado,54980
80526,40.5174,-105.13262,Fort Collins,CO,Colorado,44566
80528,40.49343,-105.00075,Fort Collins,CO,Colorado,23352
80530,40.10153,-104.92302,Frederick,CO,Colorado,5190
80532,40.4775,-105.46048,Glen Haven,CO,Colorado,238
80534,40.33192,-104.93522,Johnstown,CO,Colorado,18424
80535,40.73718,-105.19292,Laporte,CO,Colorado,2263
80536,40.87458,-105.38842,Livermore,CO,Colorado,2137
80537,40.38304,-105.20277,Loveland,CO,Colorado,43256
80538,40.48174,-105.16825,Loveland,CO,Colorado,49879
80540,40.23186,-105.39341,Lyons,CO,Colorado,5124
80542,40.23431,-104.99882,Mead,CO,Colorado,4782
80543,40.34645,-104.8532,Milliken,CO,Colorado,8167
80544,40.10305,-105.17178,Niwot,CO,Colorado,33
80545,40.85911,-105.69644,Red Feather Lakes,CO,Colorado,1076
80546,40.52415,-104.84986,Severance,CO,Colorado,189
80547,40.52948,-104.96347,Timnath,CO,Colorado,6289
80549,40.84341,-105.05499,Wellington,CO,Colorado,13582
80550,40.48213,-104.90223,Windsor,CO,Colorado,38494
80601,39.96288,-104.80777,Brighton,CO,Colorado,40346
80602,39.96369,-104.90661,Brighton,CO,Colorado,39215
80603,39.9845,-104.74539,Brighton,CO,Colorado,15116
80610,40.66996,-104.58269,Ault,CO,Colorado,3559
80611,40.62015,-104.24964,Briggsdale,CO,Colorado,844
80612,40.89924,-104.82287,Carr,CO,Colorado,268
80615,40.5444,-104.64236,Eaton,CO,Colorado,8931
80620,40.37425,-104.71337,Evans,CO,Colorado,20828
80621,40.10732,-104.79841,Fort Lupton,CO,Colorado,13534
80622,40.54235,-104.44732,Galeton,CO,Colorado,207
80623,40.28531,-104.78253,Gilcrest,CO,Colorado,1171
80624,40.45683,-104.45635,Gill,CO,Colorado,928
80631,40.44216,-104.67809,Greeley,CO,Colorado,55089
80634,40.40075,-104.79222,Greeley,CO,Colorado,60350
80640,39.88536,-104.88202,Henderson,CO,Colorado,13344
80642,40.05353,-104.61565,Hudson,CO,Colorado,5140
80643,40.11186,-104.47164,Keenesburg,CO,Colorado,3745
80644,40.3371,-104.43866,Kersey,CO,Colorado,2686
80645,40.28409,-104.64731,La Salle,CO,Colorado,5132
80646,40.47537,-104.69761,Lucerne,CO,Colorado,0
80648,40.76559,-104.72816,Nunn,CO,Colorado,1306
80649,40.37924,-104.17595,Orchard,CO,Colorado,429
80650,40.6484,-104.77666,Pierce,CO,Colorado,1843
80651,40.23717,-104.81409,Platteville,CO,Colorado,4145
80652,40.11048,-104.2751,Roggen,CO,Colorado,207
80653,40.3931,-103.97685,Weldona,CO,Colorado,802
80654,40.13501,-104.07642,Wiggins,CO,Colorado,2961
80701,40.13494,-103.81102,Fort Morgan,CO,Colorado,16547
80705,40.27116,-103.83428,Log Lane Village,CO,Colorado,1017
80720,40.07457,-103.18878,Akron,CO,Colorado,2485
80721,40.68821,-102.15297,Amherst,CO,Colorado,477
80722,40.49515,-103.23833,Atwood,CO,Colorado,485
80723,40.15981,-103.55046,Brush,CO,Colorado,6838
80726,40.91044,-102.7773,Crook,CO,Colorado,389
80727,40.02185,-102.51484,Eckley,CO,Colorado,532
80728,40.64,-102.87285,Fleming,CO,Colorado,1128
80729,40.87439,-104.22632,Grover,CO,Colorado,429
80731,40.58734,-102.60558,Haxtun,CO,Colorado,1328
80732,40.9884,-104.30525,Hereford,CO,Colorado,16
80733,40.35695,-103.47989,Hillrose,CO,Colorado,580
80734,40.52472,-102.29259,Holyoke,CO,Colorado,2956
80735,39.71549,-102.25029,Idalia,CO,Colorado,316
80736,40.81635,-103.01907,Iliff,CO,Colorado,530
80737,40.88974,-102.19267,Julesburg,CO,Colorado,1699
80740,39.74256,-103.38744,Lindon,CO,Colorado,71
80741,40.5598,-103.47339,Merino,CO,Colorado,1020
80742,40.74855,-103.81371,New Raymer,CO,Colorado,251
80743,40.21588,-102.95679,Otis,CO,Colorado,1194
80744,40.87471,-102.38355,Ovid,CO,Colorado,461
80745,40.88801,-103.40077,Padroni,CO,Colorado,68
80746,40.60706,-102.45695,Paoli,CO,Colorado,45
80747,40.94709,-103.16392,Peetz,CO,Colorado,454
80749,40.87574,-102.55354,Sedgwick,CO,Colorado,294
80750,40.41144,-103.60681,Snyder,CO,Colorado,230
80751,40.65263,-103.24504,Sterling,CO,Colorado,17718
80754,40.69052,-103.64694,Stoneham,CO,Colorado,151
80755,39.89966,-102.35155,Vernon,CO,Colorado,103
80757,39.79244,-103.58588,Woodrow,CO,Colorado,187
80758,40.11998,-102.2122,Wray,CO,Colorado,3412
80759,40.10892,-102.68759,Yuma,CO,Colorado,4845
80801,39.73943,-103.11354,Anton,CO,Colorado,90
80802,38.84317,-102.16393,Arapahoe,CO,Colorado,162
80804,39.35644,-103.26331,Arriba,CO,Colorado,300
80805,39.29378,-102.44923,Bethune,CO,Colorado,394
80807,39.31575,-102.23303,Burlington,CO,Colorado,4376
80808,39.00043,-104.30638,Calhan,CO,Colorado,6550
80809,38.86503,-104.99733,Cascade,CO,Colorado,947
80810,38.82589,-102.4454,Cheyenne Wells,CO,Colorado,1116
80812,39.67901,-102.89161,Cope,CO,Colorado,288
80813,38.76307,-105.09278,Cripple Creek,CO,Colorado,1528
80814,38.94731,-105.17604,Divide,CO,Colorado,3554
80815,39.40174,-103.08191,Flagler,CO,Colorado,770
80816,38.85162,-105.31591,Florissant,CO,Colorado,6614
80817,38.58347,-104.67412,Fountain,CO,Colorado,31450
80818,39.41539,-103.48119,Genoa,CO,Colorado,471
80819,38.94076,-105.00249,Green Mountain Falls,CO,Colorado,831
80820,38.77781,-105.56613,Guffey,CO,Colorado,709
80821,38.97366,-103.43248,Hugo,CO,Colorado,1270
80822,39.67088,-102.67815,Joes,CO,Colorado,223
80823,38.69026,-103.46738,Karval,CO,Colorado,215
80824,39.66302,-102.49943,Kirk,CO,Colorado,380
80825,38.81864,-102.80624,Kit Carson,CO,Colorado,375
80826,39.21874,-103.69129,Limon,CO,Colorado,1595
80827,39.05821,-105.46272,Lake George,CO,Colorado,611
80828,39.26643,-103.70983,Limon,CO,Colorado,1878
80829,38.82922,-104.93289,Manitou Springs,CO,Colorado,5620
80830,39.11313,-103.91139,Matheson,CO,Colorado,101
80831,38.98867,-104.51172,Peyton,CO,Colorado,30879
80832,39.06344,-104.02769,Ramah,CO,Colorado,851
80833,38.73874,-103.93699,Rush,CO,Colorado,921
80834,39.29735,-102.88617,Seibert,CO,Colorado,295
80835,39.20933,-104.07223,Simla,CO,Colorado,755
80836,39.30518,-102.58239,Stratton,CO,Colorado,1110
80840,39.00041,-104.85446,Usaf Academy,CO,Colorado,6170
80860,38.69307,-105.09876,Victor,CO,Colorado,439
80861,39.32645,-102.74844,Vona,CO,Colorado,216
80862,38.90926,-103.06782,Wild Horse,CO,Colorado,34
80863,39.03004,-105.07132,Woodland Park,CO,Colorado,13165
80864,38.69923,-104.18757,Yoder,CO,Colorado,1305
80902,38.68683,-104.8127,Colorado Springs,CO,Colorado,11756
80903,38.83249,-104.81342,Colorado Springs,CO,Colorado,16844
80904,38.86321,-104.87197,Colorado Springs,CO,Colorado,21162
80905,38.81855,-104.83649,Colorado Springs,CO,Colorado,16717
80906,38.76744,-104.87023,Colorado Springs,CO,Colorado,38046
80907,38.87912,-104.82137,Colorado Springs,CO,Colorado,28549
80908,39.0463,-104.69094,Colorado Springs,CO,Colorado,20622
80909,38.85255,-104.77434,Colorado Springs,CO,Colorado,37821
80910,38.81178,-104.7743,Colorado Springs,CO,Colorado,31827
80911,38.75325,-104.71955,Colorado Springs,CO,Colorado,36496
80913,38.70005,-104.76268,Colorado Springs,CO,Colorado,5667
80914,38.82401,-104.70546,Colorado Springs,CO,Colorado,384
80915,38.85271,-104.71652,Colorado Springs,CO,Colorado,22382
80916,38.80327,-104.71208,Colorado Springs,CO,Colorado,41087
80917,38.88684,-104.74049,Colorado Springs,CO,Colorado,31614
80918,38.91156,-104.78032,Colorado Springs,CO,Colorado,48404
80919,38.92797,-104.88025,Colorado Springs,CO,Colorado,27788
80920,38.95579,-104.77191,Colorado Springs,CO,Colorado,38988
80921,39.02648,-104.88156,Colorado Springs,CO,Colorado,22725
80922,38.88996,-104.70084,Colorado Springs,CO,Colorado,29623
80923,38.92673,-104.71433,Colorado Springs,CO,Colorado,32050
80924,38.96727,-104.72199,Colorado Springs,CO,Colorado,13607
80925,38.76156,-104.64441,Colorado Springs,CO,Colorado,14084
80926,38.64318,-104.92439,Colorado Springs,CO,Colorado,2029
80927,38.92833,-104.65878,Colorado Springs,CO,Colorado,5231
80928,38.64517,-104.44268,Colorado Springs,CO,Colorado,831
80929,38.82453,-104.60833,Colorado Springs,CO,Colorado,39
80930,38.80507,-104.50644,Colorado Springs,CO,Colorado,1691
80938,38.90157,-104.65926,Colorado Springs,CO,Colorado,565
80939,38.87772,-104.67742,Colorado Springs,CO,Colorado,0
80951,38.88396,-104.6558,Colorado Springs,CO,Colorado,5357
81001,38.29525,-104.5378,Pueblo,CO,Colorado,30678
81003,38.27782,-104.65668,Pueblo,CO,Colorado,14889
81004,38.05121,-104.71595,Pueblo,CO,Colorado,26641
81005,38.21054,-104.84608,Pueblo,CO,Colorado,32106
81006,38.24059,-104.47413,Pueblo,CO,Colorado,11361
81007,38.35858,-104.78472,Pueblo,CO,Colorado,32991
81008,38.40765,-104.59354,Pueblo,CO,Colorado,11239
81019,37.94152,-104.83714,Colorado City,CO,Colorado,1943
81020,37.43821,-104.6253,Aguilar,CO,Colorado,984
81021,38.43332,-103.36732,Arlington,CO,Colorado,8
81022,38.03279,-104.43768,Avondale,CO,Colorado,1452
81023,38.06352,-104.92966,Beulah,CO,Colorado,1356
81024,37.2293,-104.71162,Boncarbo,CO,Colorado,244
81025,38.34567,-104.26422,Boone,CO,Colorado,783
81027,37.24687,-103.72308,Branson,CO,Colorado,136
81029,37.08921,-102.48274,Campo,CO,Colorado,363
81030,38.10322,-103.51876,Cheraw,CO,Colorado,131
81033,38.19575,-103.85557,Crowley,CO,Colorado,306
81036,38.42984,-102.79292,Eads,CO,Colorado,1074
81039,37.94079,-104.08615,Fowler,CO,Colorado,1602
