status,bed,bath,acre_lot,city,state,zip_code,house_size,price,sold_previously
for_sale,1.0,1.0,,Saint Thomas,Virgin Islands,802.0,1050.0,395000.0,0
for_sale,2.0,2.0,,Saint Thomas,Virgin Islands,802.0,1379.0,570000.0,0
for_sale,2.0,2.0,,Saint Thomas,Virgin Islands,802.0,1250.0,545000.0,0
for_sale,,,6.17,Saint Thomas,Virgin Islands,802.0,,890000.0,0
for_sale,1.0,2.0,,Saint Thomas,Virgin Islands,802.0,960.0,435000.0,0
for_sale,3.0,2.0,,Saint Thomas,Virgin Islands,802.0,1487.0,619000.0,0
for_sale,,,3.77,Saint Thomas,Virgin Islands,802.0,,825000.0,0
for_sale,,,0.86,Saint Thomas,Virgin Islands,802.0,,74500.0,0
for_sale,,,0.51,Saint Thomas,Virgin Islands,802.0,,97500.0,0
for_sale,,,0.5,Saint Thomas,Virgin Islands,802.0,,115500.0,0
for_sale,,,0.5,Saint Thomas,Virgin Islands,802.0,,125000.0,0
for_sale,,,0.51,Saint Thomas,Virgin Islands,802.0,,250000.0,0
for_sale,,,7.82,Saint Thomas,Virgin Islands,802.0,,1500000.0,0
for_sale,,,3.0,Saint Thomas,Virgin Islands,802.0,,825000.0,0
for_sale,,,0.52,Saint Thomas,Virgin Islands,802.0,,250000.0,0
for_sale,,,1.2,Saint Thomas,Virgin Islands,802.0,,875000.0,0
for_sale,,,0.3,Saint Thomas,Virgin Islands,802.0,,160000.0,0
for_sale,,,0.3,Saint Thomas,Virgin Islands,802.0,,160000.0,0
for_sale,,,0.88,Saint Thomas,Virgin Islands,802.0,,210000.0,0
for_sale,3.0,2.0,0.23,Christiansted,Virgin Islands,820.0,1150.0,200000.0,0
for_sale,4.0,3.0,0.29,Christiansted,Virgin Islands,820.0,,165000.0,0
for_sale,7.0,7.0,3.57,Christiansted,Virgin Islands,820.0,,1600000.0,0
for_sale,3.0,2.0,0.23,Christiansted,Virgin Islands,820.0,,240000.0,0
for_sale,3.0,2.0,1.79,Christiansted,Virgin Islands,820.0,,225000.0,0
for_sale,4.0,3.0,0.5,Christiansted,Virgin Islands,820.0,2759.0,625000.0,0
for_sale,5.0,4.0,0.85,Christiansted,Virgin Islands,820.0,,1595000.0,0
for_sale,6.0,4.0,1.01,Christiansted,Virgin Islands,820.0,4800.0,759000.0,0
for_sale,3.0,2.0,0.25,Christiansted,Virgin Islands,820.0,1100.0,320000.0,0
for_sale,4.0,4.0,0.48,Christiansted,Virgin Islands,820.0,4338.0,877000.0,0
for_sale,,,0.85,Christiansted,Virgin Islands,820.0,,55000.0,0
for_sale,3.0,3.0,0.42,Christiansted,Virgin Islands,820.0,1600.0,965000.0,0
for_sale,1.0,1.0,,Christiansted,Virgin Islands,820.0,695.0,125000.0,0
for_sale,3.0,2.0,0.5,Christiansted,Virgin Islands,820.0,1300.0,390000.0,0
for_sale,1.0,1.0,,Christiansted,Virgin Islands,820.0,1100.0,217000.0,0
for_sale,3.0,2.0,,Christiansted,Virgin Islands,820.0,1515.0,375000.0,0
for_sale,,,0.57,Christiansted,Virgin Islands,820.0,,59500.0,0
for_sale,,,0.65,Christiansted,Virgin Islands,820.0,,59500.0,0
for_sale,,,0.47,Christiansted,Virgin Islands,820.0,,20000.0,0
for_sale,,,0.5,Christiansted,Virgin Islands,820.0,,70000.0,0
for_sale,3.0,3.0,0.61,Christiansted,Virgin Islands,820.0,1606.0,549000.0,0
for_sale,5.0,4.0,0.43,Christiansted,Virgin Islands,820.0,3190.0,999999.0,0
for_sale,,,0.6,Christiansted,Virgin Islands,820.0,,58000.0,0
for_sale,5.0,4.0,,Christiansted,Virgin Islands,820.0,3200.0,599000.0,0
for_sale,,,0.61,Christiansted,Virgin Islands,820.0,,45000.0,0
for_sale,1.0,1.0,0.53,Christiansted,Virgin Islands,820.0,1200.0,610000.0,0
for_sale,,,0.27,Christiansted,Virgin Islands,820.0,,30000.0,0
for_sale,2.0,2.0,,Christiansted,Virgin Islands,820.0,1250.0,397000.0,0
for_sale,,,6.0,Christiansted,Virgin Islands,820.0,,499000.0,0
for_sale,2.0,2.0,,Christiansted,Virgin Islands,820.0,1400.0,415000.0,0
for_sale,,,0.07,Christiansted,Virgin Islands,820.0,,174900.0,0
for_sale,2.0,2.0,0.54,Christiansted,Virgin Islands,820.0,3630.0,1295000.0,0
for_sale,,,1.09,Christiansted,Virgin Islands,820.0,,199000.0,0
for_sale,2.0,2.0,,Christiansted,Virgin Islands,820.0,1250.0,399000.0,0
for_sale,1.0,1.0,,Christiansted,Virgin Islands,820.0,770.0,249000.0,0
for_sale,,,1.07,Christiansted,Virgin Islands,820.0,,215000.0,0
for_sale,,,0.63,Christiansted,Virgin Islands,820.0,,169000.0,0
for_sale,,,1.35,Christiansted,Virgin Islands,820.0,,225000.0,0
for_sale,,,1.1,Christiansted,Virgin Islands,820.0,,265000.0,0
for_sale,2.0,2.0,,Christiansted,Virgin Islands,820.0,1250.0,419000.0,0
for_sale,2.0,2.0,,Christiansted,Virgin Islands,820.0,860.0,395000.0,0
for_sale,3.0,2.0,,Christiansted,Virgin Islands,820.0,1897.0,810000.0,0
for_sale,3.0,2.0,0.23,Christiansted,Virgin Islands,820.0,1150.0,200000.0,0
for_sale,3.0,2.0,0.23,Christiansted,Virgin Islands,820.0,,240000.0,0
for_sale,4.0,3.0,0.56,Frederiksted,Virgin Islands,840.0,,199000.0,0
for_sale,3.0,2.0,0.7,Frederiksted,Virgin Islands,840.0,2000.0,325000.0,0
for_sale,4.0,1.0,0.12,Kingshill,Virgin Islands,850.0,1800.0,225000.0,0
for_sale,1.0,1.0,,Christiansted,Virgin Islands,820.0,695.0,125000.0,0
for_sale,4.0,3.0,0.5,Christiansted,Virgin Islands,820.0,2759.0,625000.0,0
for_sale,6.0,4.0,1.01,Christiansted,Virgin Islands,820.0,4800.0,759000.0,0
for_sale,4.0,4.0,0.48,Christiansted,Virgin Islands,820.0,4338.0,877000.0,0
for_sale,3.0,2.0,0.25,Christiansted,Virgin Islands,820.0,1100.0,320000.0,0
for_sale,5.0,4.0,,Christiansted,Virgin Islands,820.0,3200.0,599000.0,0
for_sale,1.0,1.0,,Christiansted,Virgin Islands,820.0,1100.0,217000.0,0
for_sale,3.0,3.0,0.61,Christiansted,Virgin Islands,820.0,1606.0,549000.0,0
for_sale,5.0,4.0,0.85,Christiansted,Virgin Islands,820.0,,1595000.0,0
for_sale,3.0,2.0,0.5,Christiansted,Virgin Islands,820.0,1300.0,390000.0,0
for_sale,2.0,2.0,,Kingshill,Virgin Islands,850.0,1500.0,375000.0,0
for_sale,1.0,1.0,0.53,Christiansted,Virgin Islands,820.0,1200.0,610000.0,0
for_sale,2.0,2.0,,Christiansted,Virgin Islands,820.0,1250.0,397000.0,0
for_sale,3.0,3.0,0.67,Frederiksted,Virgin Islands,840.0,4500.0,999999.0,0
for_sale,2.0,2.0,,Christiansted,Virgin Islands,820.0,1250.0,399000.0,0
for_sale,,,0.47,Christiansted,Virgin Islands,820.0,,20000.0,0
for_sale,5.0,4.0,0.43,Christiansted,Virgin Islands,820.0,3190.0,999999.0,0
for_sale,2.0,2.0,,Christiansted,Virgin Islands,820.0,1400.0,415000.0,0
for_sale,4.0,4.0,0.96,Frederiksted,Virgin Islands,840.0,6100.0,1695000.0,0
for_sale,2.0,2.0,,Christiansted,Virgin Islands,820.0,1250.0,419000.0,0
for_sale,,,0.61,Christiansted,Virgin Islands,820.0,,45000.0,0
for_sale,4.0,3.0,0.39,Frederiksted,Virgin Islands,840.0,4578.0,1595000.0,0
for_sale,,,0.57,Christiansted,Virgin Islands,820.0,,59500.0,0
for_sale,,,0.6,Christiansted,Virgin Islands,820.0,,58000.0,0
for_sale,,,0.65,Christiansted,Virgin Islands,820.0,,59500.0,0
for_sale,,,0.23,Frederiksted,Virgin Islands,840.0,,36000.0,0
for_sale,,,0.27,Christiansted,Virgin Islands,820.0,,30000.0,0
for_sale,2.0,2.0,0.54,Christiansted,Virgin Islands,820.0,3630.0,1295000.0,0
for_sale,3.0,2.0,,Christiansted,Virgin Islands,820.0,1897.0,810000.0,0
for_sale,2.0,2.0,,Christiansted,Virgin Islands,820.0,860.0,395000.0,0
for_sale,,,5.94,Frederiksted,Virgin Islands,840.0,,465000.0,0
for_sale,,,0.63,Christiansted,Virgin Islands,820.0,,169000.0,0
for_sale,,,0.07,Christiansted,Virgin Islands,820.0,,174900.0,0
for_sale,,,1.07,Christiansted,Virgin Islands,820.0,,215000.0,0
for_sale,,,1.35,Christiansted,Virgin Islands,820.0,,225000.0,0
for_sale,,,6.0,Christiansted,Virgin Islands,820.0,,499000.0,0
for_sale,,,1.1,Christiansted,Virgin Islands,820.0,,265000.0,0
for_sale,1.0,1.0,,Saint Thomas,Virgin Islands,802.0,900.0,225000.0,0
for_sale,9.0,12.0,0.47,Saint John,Virgin Islands,830.0,30378.0,16999000.0,0
for_sale,,,0.86,Saint Thomas,Virgin Islands,802.0,,74500.0,0
for_sale,,,0.87,Saint Thomas,Virgin Islands,802.0,,79000.0,0
for_sale,,,0.33,Saint Thomas,Virgin Islands,802.0,,70000.0,0
for_sale,,,0.24,Saint Thomas,Virgin Islands,802.0,,85000.0,0
for_sale,5.0,6.0,0.11,Saint John,Virgin Islands,830.0,6400.0,2250000.0,0
for_sale,,,5.0,Saint Thomas,Virgin Islands,802.0,,400000.0,0
for_sale,,,0.51,Saint Thomas,Virgin Islands,802.0,,97500.0,0
for_sale,,,0.5,Saint Thomas,Virgin Islands,802.0,,115500.0,0
for_sale,,,0.23,Saint John,Virgin Islands,830.0,,360000.0,0
for_sale,6.0,7.0,0.72,Saint John,Virgin Islands,830.0,6371.0,4250000.0,0
for_sale,,,0.6,Saint Thomas,Virgin Islands,802.0,,125000.0,0
for_sale,,,0.6,Saint John,Virgin Islands,830.0,,540000.0,0
for_sale,,,0.99,Saint John,Virgin Islands,830.0,,350000.0,0
for_sale,,,0.5,Saint Thomas,Virgin Islands,802.0,,125000.0,0
for_sale,,,0.29,Saint John,Virgin Islands,830.0,,159000.0,0
for_sale,,,0.73,Saint Thomas,Virgin Islands,802.0,,189000.0,0
for_sale,,,0.5,Saint Thomas,Virgin Islands,802.0,,185000.0,0
for_sale,,,1.01,Saint Thomas,Virgin Islands,802.0,,170000.0,0
for_sale,,,0.74,Saint John,Virgin Islands,830.0,,595000.0,0
for_sale,,,0.62,Saint Thomas,Virgin Islands,802.0,,150000.0,0
for_sale,,,2.06,Saint Thomas,Virgin Islands,802.0,,195000.0,0
for_sale,,,0.45,Saint Thomas,Virgin Islands,802.0,,145000.0,0
for_sale,,,0.14,Saint John,Virgin Islands,830.0,,299000.0,0
for_sale,,,0.51,Saint Thomas,Virgin Islands,802.0,,250000.0,0
for_sale,,,1.03,Saint John,Virgin Islands,830.0,,195000.0,0
for_sale,,,3.0,Saint Thomas,Virgin Islands,802.0,,825000.0,0
for_sale,,,0.52,Saint Thomas,Virgin Islands,802.0,,250000.0,0
for_sale,,,0.82,Saint John,Virgin Islands,830.0,,225000.0,0
for_sale,,,7.82,Saint Thomas,Virgin Islands,802.0,,1500000.0,0
for_sale,,,0.3,Saint Thomas,Virgin Islands,802.0,,160000.0,0
for_sale,,,1.2,Saint Thomas,Virgin Islands,802.0,,875000.0,0
for_sale,,,0.3,Saint Thomas,Virgin Islands,802.0,,160000.0,0
for_sale,,,0.9,Saint John,Virgin Islands,830.0,,895000.0,0
for_sale,,,0.88,Saint Thomas,Virgin Islands,802.0,,210000.0,0
for_sale,,,0.52,Saint Thomas,Virgin Islands,802.0,,233000.0,0
for_sale,,,0.44,Saint John,Virgin Islands,830.0,,585000.0,0
for_sale,,,130.0,Saint Thomas,Virgin Islands,802.0,,23000000.0,0
for_sale,,,0.86,Saint Thomas,Virgin Islands,802.0,,74500.0,0
for_sale,,,0.87,Saint Thomas,Virgin Islands,802.0,,79000.0,0
for_sale,,,0.33,Saint Thomas,Virgin Islands,802.0,,70000.0,0
for_sale,1.0,1.0,,Saint Thomas,Virgin Islands,802.0,900.0,225000.0,0
for_sale,,,0.24,Saint Thomas,Virgin Islands,802.0,,85000.0,0
for_sale,,,4.93,Saint Thomas,Virgin Islands,802.0,,599000.0,0
for_sale,,,0.51,Saint Thomas,Virgin Islands,802.0,,97500.0,0
for_sale,,,7.82,Saint Thomas,Virgin Islands,802.0,,1500000.0,0
for_sale,,,0.51,Saint Thomas,Virgin Islands,802.0,,250000.0,0
for_sale,,,2.06,Saint Thomas,Virgin Islands,802.0,,195000.0,0
